case_id,title,level,sim_status,real_status,coverage_source,real_metrics,real_detail
TC01,正常跨境接入,A,PASS-SIM,PASS-REAL,direct:TC01,4/4；完整性校验通过；海南2+重庆2,POC-REAL-0003：Bundle SHA 校验通过后真实分片执行成功。
TC04,数据完整性异常,A,PASS-SIM,PASS-REAL(REJECTED),direct:TC04,HASH_MISMATCH；未建执行任务,故意错误期望哈希，拒绝创建可执行任务并留审计。
TC06,资源发现准确性,A,PASS-SIM,本期未取证,direct:TC06,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：字段完整率100%。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC08,海南优先调度,A,PASS-SIM,本期未取证,direct:TC08,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：selected=海南。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC18,超时及执行失败,A,PASS-SIM,本期未取证,direct:TC18,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：FAILED-TIMEOUT。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC27,镜像拉取或启动失败,A,PASS-SIM,本期未取证,direct:TC27,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：残留容器0。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC05,重复提交与任务唯一性,B,PASS-SIM,本期未取证,direct:TC05,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：submitted=3; accepted=2; duplicate_rejected=1。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC07,资源状态刷新,A,PASS-SIM,本期未取证,direct:TC07,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,"仿真曾记为 PASS-SIM：changed_fields=available_memory_gb,load。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。"
TC09,重庆分流调度,A,PASS-SIM,本期未取证,mapped:DT02,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：selected=重庆; source=DT02。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC10,单卡显存硬约束,A,PASS-SIM,PASS-REAL,mapped:DT03,mapped:DT03；重庆候选排除,由真实 DT03 覆盖：16GB 任务不派重庆 12GB 单卡。
TC11,框架及GPU兼容约束,A,PASS-SIM,本期未取证,direct:TC11,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：candidate_rejection=compatibility。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC12,资源耗尽与背压,B,PASS-SIM,本期未取证,direct:TC12,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：capacity=2; running=2; queued=3。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC13,海南本地推理,A,PASS-SIM,PASS-REAL,mapped:DT01,mapped:DT01；海南分片成功,DT01 各轮均有海南分片真实 SUCCEEDED（如 S01/S02/S05–S08）。
TC14,重庆异地推理,A,PASS-SIM,PASS-REAL,mapped:DT01,mapped:DT01；重庆 S03/S04 成功,DT01 各轮 S03/S04 真实下发重庆并 SUCCEEDED。
TC15,批量推理与队列,A,PASS-SIM,PASS-REAL,mapped:DT01,mapped:DT01；3×8 分片闭环,DT01 连续三轮每轮 8 分片全部完成，缺失/重复为 0。
TC17,任务取消,B,PASS-SIM,本期未取证,direct:TC17,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：queued_cancelled=1; running_cancelled=1。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
TC19,结果正确性,A,PASS-SIM,PASS-REAL,mapped:DT01,reference_match 4096/4096,汇聚 predictions 与冻结 reference top1 比对 mismatch=0。
TC20,结果回传完整性,A,PASS-SIM,本期未取证,mapped:DT05,仅有仿真证据；本期未单独形成 PASS-REAL 证据包,仿真曾记为 PASS-SIM：result_hash_length=64; parent_packages=2。按“真实调度报告不把 PASS-SIM 转写为通过”原则，本期不写入 PASS-REAL。
