parent_id,child_id,shard_id,sample_start,sample_end,samples,round,task_id,selected_region,gpu_id,mode,accepted,rejected,reason,status,memory_gb,runtime_s,node_model,start_s,finish_s,transfer_s,result_sha256,reference_sha256,reference_match
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S01,1,1,512,512,1,POC-IMG-DUAL-001-S01,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,0.0,5.0,0.0,2743546e8d7c70df4029d49d4852708fa824dd96febfa87b560e1e1afa452f59,2743546e8d7c70df4029d49d4852708fa824dd96febfa87b560e1e1afa452f59,True
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S02,2,513,1024,512,1,POC-IMG-DUAL-001-S02,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,5.0,10.0,0.0,9565df40f67b2ffed028795b5921b2151afa638cc5b203f3866b5f2c5136b323,9565df40f67b2ffed028795b5921b2151afa638cc5b203f3866b5f2c5136b323,True
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S03,3,1025,1536,512,1,POC-IMG-DUAL-001-S03,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,0.35,7.35,0.35,2ccddb8f3a763c6cead5b2acd60c65eb74393fa6313256af19a43e615f04747b,2ccddb8f3a763c6cead5b2acd60c65eb74393fa6313256af19a43e615f04747b,True
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S04,4,1537,2048,512,1,POC-IMG-DUAL-001-S04,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,7.35,14.35,0.35,03a46ea536f6bfb80c2c122e520b824e8a8544a5a30412828cdbc40f5711012a,03a46ea536f6bfb80c2c122e520b824e8a8544a5a30412828cdbc40f5711012a,True
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S05,5,2049,2560,512,1,POC-IMG-DUAL-001-S05,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,10.0,15.0,0.0,a6be4503cd88c8915287e642c4fd939fd4ee446f08e6bb067c9ababbe5b582b3,a6be4503cd88c8915287e642c4fd939fd4ee446f08e6bb067c9ababbe5b582b3,True
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S06,6,2561,3072,512,1,POC-IMG-DUAL-001-S06,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,15.0,20.0,0.0,afd9eabc6731a9f7e585ae4ccb26b8fcaf718c534f72cb6bd8551c47688b0c0d,afd9eabc6731a9f7e585ae4ccb26b8fcaf718c534f72cb6bd8551c47688b0c0d,True
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S07,7,3073,3584,512,1,POC-IMG-DUAL-001-S07,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,20.0,25.0,0.0,cbea8119809c0c90f2640b044324fa88cdbc2ee23151eed890d7648787b3284b,cbea8119809c0c90f2640b044324fa88cdbc2ee23151eed890d7648787b3284b,True
POC-IMG-DUAL-001,POC-IMG-DUAL-001-S08,8,3585,4096,512,1,POC-IMG-DUAL-001-S08,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,25.0,30.0,0.0,1f32fd3a7ee918e4d6fbc8e4df57aac4c64415da690b979966a2d51c96196c1c,1f32fd3a7ee918e4d6fbc8e4df57aac4c64415da690b979966a2d51c96196c1c,True
POC-IMG-DUAL-002,POC-IMG-DUAL-002-S01,1,1,512,512,2,POC-IMG-DUAL-002-S01,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,0.0,5.0,0.0,71e43d0bca8b9e22e120f4708a1828e144cdd2eb0d4dc6ff24aa860f95efbcbf,71e43d0bca8b9e22e120f4708a1828e144cdd2eb0d4dc6ff24aa860f95efbcbf,True
POC-IMG-DUAL-002,POC-IMG-DUAL-002-S02,2,513,1024,512,2,POC-IMG-DUAL-002-S02,海南,海南-GPU1,海南优先,['海南'],"[{'region': '重庆', 'reason': '亲和性不匹配'}]",满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,5.0,10.0,0.0,ccae3a0675e1c1913d93c3c78d0de82a2179b4ae118c65e83a2e01fbdc546aeb,ccae3a0675e1c1913d93c3c78d0de82a2179b4ae118c65e83a2e01fbdc546aeb,True
POC-IMG-DUAL-002,POC-IMG-DUAL-002-S03,3,1025,1536,512,2,POC-IMG-DUAL-002-S03,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,0.35,7.35,0.35,66da886a0fc7ed1c95d8fede6728803e8864542ca40b7d3e7e7d290c9540310a,66da886a0fc7ed1c95d8fede6728803e8864542ca40b7d3e7e7d290c9540310a,True
POC-IMG-DUAL-002,POC-IMG-DUAL-002-S04,4,1537,2048,512,2,POC-IMG-DUAL-002-S04,重庆,重庆-GPU1,海南优先,['重庆'],"[{'region': '海南', 'reason': '亲和性不匹配'}]",延迟、成本、能耗和负载归一化加权得分最低,SUCCEEDED,8.0,8.0,RTX 4070,7.35,14.35,0.35,3579b70e40e2a904434cde6fbe90b62a93bf06b4f6ce367c8241cfb0ce9fd033,3579b70e40e2a904434cde6fbe90b62a93bf06b4f6ce367c8241cfb0ce9fd033,True
POC-IMG-DUAL-002,POC-IMG-DUAL-002-S05,5,2049,2560,512,2,POC-IMG-DUAL-002-S05,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,10.0,15.0,0.0,d4c1ae97f8b084671c40020b23d70918420999fe342ca4c4fc9da4a4098e2f8c,d4c1ae97f8b084671c40020b23d70918420999fe342ca4c4fc9da4a4098e2f8c,True
POC-IMG-DUAL-002,POC-IMG-DUAL-002-S06,6,2561,3072,512,2,POC-IMG-DUAL-002-S06,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,15.0,20.0,0.0,c3d4352875364d4444cbfbd6e8b1d50cf3a10d626c3001b20c670f28fbf738d3,c3d4352875364d4444cbfbd6e8b1d50cf3a10d626c3001b20c670f28fbf738d3,True
POC-IMG-DUAL-002,POC-IMG-DUAL-002-S07,7,3073,3584,512,2,POC-IMG-DUAL-002-S07,海南,海南-GPU1,海南优先,"['海南', '重庆']",[],满足硬约束，命中海南优先规则,SUCCEEDED,8.0,8.0,RTX 4090,20.0,25.0,0.0,96b485657ceb678096b4559ae5095827667896ceeaed48350fb4cc593e75a99d,96b485657ceb678096b4559ae5095827667896ceeaed48350fb4cc593e75a99d,True
