case_id,title,level,status,evidence,detail,metrics,parent_task_id,child_task_id,execution_time,preconditions,input_files,input_sha256,shards,candidate_set,selection_reason,execution_node,gpu_id,actual_outputs,missing_samples,duplicate_samples,log_evidence,issue_id,retry_relation,cleanup_record,test_conclusion,coverage_source,supporting_files
TC01,正常跨境接入,A,PASS-SIM,case_evidence/TC01.json,合成输入包登记成功，SHA-256与冻结值一致。,input_sha256=939ac769d791…,TC01-PARENT,TC01-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,合成输入包登记成功，SHA-256与冻结值一致。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC01.json; audit_log.jsonl,NONE,NONE,case_evidence/TC01.json: cleanup_status=SIMULATED,PASS-SIM: 合成输入包登记成功，SHA-256与冻结值一致。,direct:TC01,input_manifest.json
TC04,数据完整性异常,A,PASS-SIM,case_evidence/TC04.json,篡改后的输入哈希被拒绝，未创建可执行任务。,错误哈希任务创建0,TC04-PARENT,TC04-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,篡改后的输入哈希被拒绝，未创建可执行任务。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC04.json; audit_log.jsonl,NONE,NONE,case_evidence/TC04.json: cleanup_status=SIMULATED,PASS-SIM: 篡改后的输入哈希被拒绝，未创建可执行任务。,direct:TC04,input_manifest.json
TC06,资源发现准确性,A,PASS-SIM,case_evidence/TC06.json,资源快照与方案冻结的两地GPU型号、数量和单卡显存一致。,字段完整率100%,TC06-PARENT,TC06-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,资源快照与方案冻结的两地GPU型号、数量和单卡显存一致。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC06.json; audit_log.jsonl,NONE,NONE,case_evidence/TC06.json: cleanup_status=SIMULATED,PASS-SIM: 资源快照与方案冻结的两地GPU型号、数量和单卡显存一致。,direct:TC06,resource_snapshot.csv
TC08,海南优先调度,A,PASS-SIM,case_evidence/TC08.json,满足硬约束，命中海南优先规则,selected=海南,TC08-PARENT,TC08-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,满足硬约束，命中海南优先规则,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC08.json; audit_log.jsonl,NONE,NONE,case_evidence/TC08.json: cleanup_status=SIMULATED,PASS-SIM: 满足硬约束，命中海南优先规则,direct:TC08,resource_snapshot.csv
TC18,超时及执行失败,A,PASS-SIM,case_evidence/TC18.json,超过冻结超时时间后分类为失败并保留退出原因。,FAILED-TIMEOUT,TC18-PARENT,TC18-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,超过冻结超时时间后分类为失败并保留退出原因。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC18.json; audit_log.jsonl,NONE,NONE,case_evidence/TC18.json: cleanup_status=SIMULATED,PASS-SIM: 超过冻结超时时间后分类为失败并保留退出原因。,direct:TC18,case_evidence/TC18.json
TC27,镜像拉取或启动失败,A,PASS-SIM,case_evidence/TC27.json,镜像摘要不一致时在候选节点阶段拒绝，不残留失控容器。,残留容器0,TC27-PARENT,TC27-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,镜像摘要不一致时在候选节点阶段拒绝，不残留失控容器。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC27.json; audit_log.jsonl,NONE,NONE,case_evidence/TC27.json: cleanup_status=SIMULATED,PASS-SIM: 镜像摘要不一致时在候选节点阶段拒绝，不残留失控容器。,direct:TC27,case_evidence/TC27.json
TC05,重复提交与任务唯一性,B,PASS-SIM,case_evidence/TC05.json,相同请求标识仅登记一次，重复提交被幂等拒绝；未产生无标识重复执行。,submitted=3; accepted=2; duplicate_rejected=1,TC05-PARENT,TC05-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,相同请求标识仅登记一次，重复提交被幂等拒绝；未产生无标识重复执行。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC05.json; audit_log.jsonl,NONE,NONE,case_evidence/TC05.json: cleanup_status=SIMULATED,PASS-SIM: 相同请求标识仅登记一次，重复提交被幂等拒绝；未产生无标识重复执行。,direct:TC05,case_evidence/TC05.json
TC07,资源状态刷新,A,PASS-SIM,case_evidence/TC07.json,受控改变海南GPU显存占用后，模拟采集快照的可用显存和负载字段发生变化；现场仍需接入真实节点代理核验采集周期。,"changed_fields=available_memory_gb,load",TC07-PARENT,TC07-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,受控改变海南GPU显存占用后，模拟采集快照的可用显存和负载字段发生变化；现场仍需接入真实节点代理核验采集周期。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC07.json; audit_log.jsonl,NONE,NONE,case_evidence/TC07.json: cleanup_status=SIMULATED,PASS-SIM: 受控改变海南GPU显存占用后，模拟采集快照的可用显存和负载字段发生变化；现场仍需接入真实节点代理核验采集周期。,direct:TC07,case_evidence/TC07.json
TC09,重庆分流调度,A,PASS-SIM,case_evidence/TC09.json,直接复用DT02的海南显存预占场景：海南不满足8GB单卡可用显存时，任务分流重庆；OTN真实传输仍待现场复测。,selected=重庆; source=DT02,TC09-PARENT,TC09-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,直接复用DT02的海南显存预占场景：海南不满足8GB单卡可用显存时，任务分流重庆；OTN真实传输仍待现场复测。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC09.json; audit_log.jsonl,NONE,NONE,case_evidence/TC09.json: cleanup_status=SIMULATED,PASS-SIM: 直接复用DT02的海南显存预占场景：海南不满足8GB单卡可用显存时，任务分流重庆；OTN真实传输仍待现场复测。,mapped:DT02,dt02_routing.csv; charts/dt02_routing.png
TC10,单卡显存硬约束,A,PASS-SIM,case_evidence/TC10.json,直接复用DT03：16GB资源声明按单卡可用显存过滤，重庆4070在候选阶段排除。,chongqing_candidate=REJECTED; source=DT03,TC10-PARENT,TC10-S01,2026-08-06T10:00:00+08:00 (simulation),确定性合成输入、冻结镜像摘要、仿真节点资源已加载,dataset-140m.tar.gz; manifest.csv; manifest_part-01..08.csv,939ac769d7910bf51b920c47b5bd912a1cabb68b42a95151ed68820c560df6e2,NOT_APPLICABLE,海南/重庆；按健康、链路、镜像、兼容性和单卡显存过滤,直接复用DT03：16GB资源声明按单卡可用显存过滤，重庆4070在候选阶段排除。,海南/重庆（仿真）,海南-GPU1/重庆-GPU1（仿真）,分片结果、结果哈希、状态记录和用例证据JSON,NOT_APPLICABLE,NOT_APPLICABLE,case_evidence/TC10.json; audit_log.jsonl,NONE,NONE,case_evidence/TC10.json: cleanup_status=SIMULATED,PASS-SIM: 直接复用DT03：16GB资源声明按单卡可用显存过滤，重庆4070在候选阶段排除。,mapped:DT03,dt03_vram_constraint.csv; charts/resource_snapshot.png
